model	nDCGRendle2020
LightGCN_seed=123_e=200_bs=64_lr=0$00011454076953075361_factors=512_l_w=1$4623166653305814e-05_n_layers=3	0.11092445736082195
LightGCN_seed=123_e=200_bs=64_lr=0$0001285942211476696_factors=512_l_w=0$02091021650260823_n_layers=3	0.11007084069308735
LightGCN_seed=123_e=200_bs=64_lr=0$0001301815760684622_factors=512_l_w=0$0007389146265299359_n_layers=3	0.11022378778242871
LightGCN_seed=123_e=200_bs=64_lr=0$00017769915691174588_factors=512_l_w=1$9708070255857435e-05_n_layers=3	0.10745046512226453
LightGCN_seed=123_e=200_bs=64_lr=0$00024828109391337706_factors=512_l_w=0$041968799109630556_n_layers=3	0.10375046980543351
LightGCN_seed=123_e=200_bs=64_lr=0$0002609819454278066_factors=512_l_w=0$025085323471307472_n_layers=3	0.10473031692341457
LightGCN_seed=123_e=200_bs=64_lr=0$0003027484581654543_factors=512_l_w=0$008320671979702394_n_layers=3	0.10965880878041663
LightGCN_seed=123_e=200_bs=64_lr=0$00032389695889150017_factors=512_l_w=0$0027101707182406246_n_layers=3	0.1093956419253562
LightGCN_seed=123_e=200_bs=64_lr=0$00035651569784446636_factors=512_l_w=2$5842127479727974e-05_n_layers=3	0.10848206666955088
LightGCN_seed=123_e=200_bs=64_lr=0$00035663198071096984_factors=512_l_w=0$0008360431152364921_n_layers=3	0.10850424425139284
LightGCN_seed=123_e=200_bs=64_lr=0$0004852953724552065_factors=512_l_w=7$061036687012815e-05_n_layers=3	0.10935061851082321
LightGCN_seed=123_e=200_bs=64_lr=0$0005754258527936548_factors=512_l_w=0$007115052124575682_n_layers=3	0.10339178726929123
LightGCN_seed=123_e=200_bs=64_lr=0$0007151849950050514_factors=512_l_w=2$4354464379120438e-05_n_layers=3	0.10479066571176375
LightGCN_seed=123_e=200_bs=64_lr=0$0015406839664936752_factors=512_l_w=0$09726326397655977_n_layers=3	0.10773941573297352
LightGCN_seed=123_e=200_bs=64_lr=0$0016938006370902162_factors=512_l_w=0$01217652235380952_n_layers=3	0.1045582571669462
LightGCN_seed=123_e=200_bs=64_lr=0$0019153985150590143_factors=512_l_w=4$4065269893627953e-05_n_layers=3	0.10445814831601416
LightGCN_seed=123_e=200_bs=64_lr=0$002123463498261203_factors=512_l_w=0$0027077560797712764_n_layers=3	0.10397956528680528
LightGCN_seed=123_e=200_bs=64_lr=0$002411993489896946_factors=512_l_w=0$003023263429458794_n_layers=3	0.1034021537958703
LightGCN_seed=123_e=200_bs=64_lr=0$003069159326382407_factors=512_l_w=0$08932002744467206_n_layers=3	0.09729806070079507
LightGCN_seed=123_e=200_bs=64_lr=0$0031546137829125687_factors=512_l_w=0$01804404368191189_n_layers=3	0.09817769449646963
